query,search interest,increase percent,keyword,query_type,window_days,window_start,window_end,logical_name,source_file,ingested_at
overleaf,1,Breakout,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
econometria,1,Breakout,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
earth system science data,0,Breakout,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
what is a data pipeline,0,3.450%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
data governance frameworks,0,2.550%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
kids science experiments at home,0,2.400%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
unipd,17,250%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
towards data science,9,100%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
sapienza,18,90%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
ibm data science,9,80%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
unimib,9,80%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
data science unisa,7,70%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
ibm data science professional certificate,12,60%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
data science polito,6,40%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
data science sapienza,16,10%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
data analyst,17,10%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
linkedin,23,10%,data science,rising,30,2026-01-07,2026-02-06 08:46:00,rising_query_data science_30d,searched_with_rising-queries_IT_20260107-0000_20260206-0846.csv,2026-02-06 19:52:47.160472+00:00
